@RELATION ontolo

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0.2698412698412698,2,pre,-
0,0,ant,-
0.07142857142857142,2,ant,-
0,2,ent,-
0,1,tmp,-
0,0,tmp,-
0,0,ant,-
0.0019646365422396855,0,pre,-
0.023809523809523808,1,ant,-
0,0,ant,-
0.019230769230769232,0,ant,-
0,0,ant,-
0.018518518518518517,1,ent,-
0,0,ant,-
0.058823529411764705,1,ant,-
0,0,ant,-
0.02127659574468085,0,ant,-
0,2,ant,-
0.45454545454545453,0,ant,-
0,0,tmp,-
0,1,ant,-
0.018518518518518517,0,ant,-
2.9545454545454546,0,tmp,-
0,2,ent,-
0,1,ant,-
0.09009009009009009,0,pre,-
0.014925373134328358,0,ent,-
0.023809523809523808,1,ant,-
0.17488789237668162,0,pre,-
0.04,0,ant,-
0,0,ent,-
0,0,ant,-
0,0,ant,-
0,3,ent,-
0,0,ant,-
0,0,ant,-
0,0,tmp,-
0,0,ant,-
0.018867924528301886,0,ant,-
0.013836477987421384,0,ent,-
0,0,tmp,-
0,0,ant,-
0,0,tmp,-
0.04411764705882353,0,ant,-
0,0,ant,-
0.018867924528301886,1,ant,-
0.07758620689655173,0,ant,-
0,1,ent,-
0,2,ant,-
0,0,ant,-
0,0,pre,-
0,0,ant,-
0,2,ant,-
0,1,ant,-
0.041666666666666664,0,ant,-
0,0,ent,-
0.03225806451612903,1,ant,-
0.05,0,tmp,-
0,0,tmp,-
0,1,ent,-
2.3333333333333335,4,ant,-
0,0,ant,-
0.12244897959183673,2,pre,-
0.3904761904761905,0,ent,-
0,0,pre,-
0.3,1,ant,-
0.00819672131147541,1,pre,-
0,0,ant,-
0,1,ant,-
0,2,ant,-
0,0,ant,-
0,1,ent,-
0,0,ent,-
0,2,ant,-
0,2,ant,-
0.20824881676808654,1,ent,-
0,0,ent,-
0,0,ent,-
0,2,ent,-
0.046153846153846156,0,ant,-
0,1,ent,-
0,2,ant,-
0,1,ent,-
0,0,ant,-
0,1,ant,-
0.043478260869565216,0,ant,-
0.04721030042918455,0,pre,-
0.0016680567139282735,1,ent,-
0,3,ent,-
0,0,ant,-
0,1,tmp,-
0,0,ant,-
0,0,ant,-
0.04837084313066846,0,ent,-
0,2,tmp,-
3.0535714285714284,1,ent,+
0.1487603305785124,0,ant,-
0,0,tmp,-
0,0,ant,-
0,1,ant,-
0,0,ant,-
0.031096563011456628,0,ent,-
0,1,ent,-
0,2,ant,-
0.05263157894736842,0,pre,-
0,0,ent,-
0.02249134948096886,0,pre,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,1,ant,-
0,1,ent,-
0,0,ent,-
0,0,ant,-
0.7981651376146789,2,pre,-
0,0,ent,-
0,0,tmp,-
