@RELATION ontolo_new_trop

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0.03993288590604027,1,ent,-
0,0,ent,-
0.016129032258064516,0,pre,-
0,0,ant,-
0.32589285714285715,1,ent,-
0,0,ant,-
0.012307692307692308,0,pre,-
0,1,ant,-
0,0,ant,-
0,0,ant,-
0,1,tmp,-
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
1.0,3,tmp,+
0,0,ant,-
0,1,ant,-
0,0,ant,-
0,0,ant,-
0.1,0,ant,-
0,1,pre,-
0,0,pre,-
0,1,ant,-
0,2,ant,-
0.022727272727272728,0,ent,-
0.003779289493575208,1,ent,-
0,0,ent,-
0,1,ant,-
0,0,pre,-
0,0,pre,-
0,1,pre,-
0,1,ant,-
0.027522935779816515,2,pre,-
0,0,ent,-
0.05019305019305019,0,pre,-
0.018518518518518517,1,ant,-
0,0,pre,-
0,0,ant,-
0.2,2,ent,-
0.1,0,ant,-
0.007692307692307693,6,ent,-
0,0,tmp,-
0,0,ant,-
0,5,pre,-
0,0,ant,-
0,0,tmp,-
0.07142857142857142,3,ant,-
0.00680015111446921,1,ent,-
0,1,ant,-
0,0,tmp,-
0,0,ant,-
0,1,tmp,-
0,0,pre,-
0,0,ant,-
0.046153846153846156,1,ant,-
0,2,ant,-
0,0,ent,-
0,0,ant,-
0,3,ant,-
0,0,ant,-
0.06066176470588235,1,ent,-
0,0,ant,-
0,0,ant,-
0,0,ant,-
0,0,ent,-
0.029476787030213707,0,ent,-
0,1,pre,-
0,0,ent,-
0,0,ent,-
0.12206572769953052,0,ent,-
0,0,ent,-
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0.1,0,ant,+
0,0,pre,-
0,0,pre,-
0,2,ent,-
0,1,ent,-
0,1,ant,-
0.43902439024390244,0,ent,-
0,0,ant,-
0.08014311270125224,2,ent,-
0.02586206896551724,0,pre,-
0,1,ant,-
0.05,0,ent,-
0.26666666666666666,0,pre,-
0,0,ant,-
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,1,ant,+
0,0,ant,-
0,1,tmp,-
0,0,ant,-
0.01118421052631579,1,ent,-
0,0,ant,-
0,0,ant,-
0.006600660066006601,1,ent,-
0,2,ant,-
0,1,ant,-
0,0,ant,-
0.046153846153846156,0,ant,-
0,0,ant,-
0,1,ant,-
0.1,2,ant,-
0.04619565217391304,0,pre,-
0.046511627906976744,1,pre,-
0,1,ant,-
0.043478260869565216,1,pre,-
0,0,ent,-
0,0,ant,-
0,2,ent,-
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
0,0,tmp,+
